品类,月份,库存量
category327,2023/6/1,39 
category344,2022/7/1,38 
category31,2023/6/1,37 
category210,2023/2/1,37 
category212,2022/9/1,37 
category260,2023/3/1,37 
category260,2023/4/1,37 
category260,2023/6/1,37 
category249,2022/9/1,36 
category249,2022/8/1,36 
category249,2022/7/1,35 
category274,2023/4/1,35 
category249,2023/5/1,35 
category260,2023/5/1,35 
category330,2023/2/1,35 
category274,2023/2/1,34 
category249,2023/3/1,34 
category249,2023/4/1,34 
category249,2023/1/1,34 
category249,2023/2/1,34 
category274,2023/5/1,34 
category330,2023/4/1,34 
category212,2022/7/1,33 
category249,2023/6/1,33 
category344,2022/9/1,33 
category52,2022/7/1,31 
category170,2023/1/1,31 
category315,2022/8/1,30 
category210,2023/4/1,29 
category339,2023/5/1,29 
category337,2022/9/1,29 
category348,2022/9/1,29 
category5,2023/5/1,28 
category274,2023/3/1,27 
category339,2023/6/1,27 
category170,2023/3/1,26 
category159,2022/9/1,25 
category159,2022/7/1,25 
category159,2023/3/1,25 
category159,2023/1/1,25 
category159,2023/4/1,25 
category159,2023/2/1,25 
category159,2023/5/1,25 
category159,2023/6/1,25 
category159,2022/8/1,25 
category212,2022/8/1,24 
category210,2022/9/1,24 
category170,2022/9/1,23 
category207,2022/8/1,22 
category7,2022/7/1,21 
category346,2022/7/1,20 
category330,2023/3/1,19 
category274,2022/9/1,19 
category274,2022/8/1,18 
category274,2023/1/1,18 
category7,2022/9/1,17 
category288,2022/9/1,17 
category7,2022/8/1,17 
category167,2022/7/1,16 
category7,2023/1/1,16 
category167,2022/8/1,16 
category7,2023/2/1,15 
category54,2023/5/1,15 
category210,2023/3/1,15 
category7,2023/3/1,14 
category345,2023/1/1,14 
category345,2023/2/1,13 
category326,2022/9/1,13 
category336,2023/2/1,12 
category336,2023/1/1,12 
category348,2023/1/1,12 
category345,2022/9/1,11 
category348,2023/3/1,11 
category348,2023/2/1,11 
category288,2023/3/1,11 
category288,2023/1/1,11 
category288,2023/2/1,11 
category345,2023/3/1,11 
category348,2023/4/1,11 
category7,2023/4/1,10 
category192,2022/7/1,10 
category170,2023/2/1,10 
category288,2023/4/1,10 
category10,2023/1/1,9 
category336,2023/3/1,9 
category50,2022/7/1,9 
category54,2023/6/1,9 
category213,2022/7/1,9 
category345,2023/4/1,9 
category207,2022/9/1,8 
category348,2023/5/1,8 
category7,2023/5/1,8 
category345,2022/7/1,8 
category332,2023/1/1,7 
category345,2023/5/1,7 
category348,2023/6/1,7 
category345,2022/8/1,7 
category274,2022/7/1,6 
category332,2023/3/1,6 
category332,2023/2/1,6 
category7,2023/6/1,6 
category288,2023/5/1,5 
category332,2023/4/1,5 
category336,2023/4/1,4 
category288,2023/6/1,4 
category332,2023/6/1,3 
category332,2023/5/1,3 
category326,2022/7/1,3 
category345,2023/6/1,2 
category304,2023/3/1,2 
category304,2023/4/1,2 
category304,2023/2/1,2 
category304,2023/6/1,2 
category304,2023/5/1,2 
category304,2023/1/1,2 
category336,2023/6/1,1 
category336,2023/5/1,1 
category210,2022/7/1,1 
category210,2022/8/1,1 
category210,2023/1/1,1 
category326,2023/3/1,1 
category326,2023/4/1,1 
category326,2023/5/1,1 
category329,2022/7/1,1 
category336,2022/7/1,1 
category336,2022/9/1,1 
category336,2022/8/1,1 
